SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,1 Renaissance Sq Ph 2EFG,White Plains,NY,10601,4195000,3,2.5,Ritz Carlton,5030,,2007,411,834,5611,Active,,,http://www.redfin.com/NY/White-Plains/1-Renaissance-Sq-10601/unit-2EFG/home/161473513,OneKey,H4913842,N,Y,41.0331361,-73.7675935
MLS Listing,,Condo/Co-op,90 Bryant Ave Unit Embassy-TE,White Plains,NY,10605,173000,2,1.5,Surrey Strathmore,1403,,1939,417,123,1933,Active,,,http://www.redfin.com/NY/White-Plains/90-Bryant-Ave-10605/home/20184336,OneKey,H4919000,N,Y,41.0195136,-73.759875
MLS Listing,,Single Family Residential,1 Amanda Ct,White Plains,NY,10607,995000,4,3.0,White Plains,3814,40977,2003,419,261,,Active,,,http://www.redfin.com/NY/White-Plains/1-Amanda-Ct-10607/home/20018037,OneKey,H4917806,N,Y,41.0394628,-73.8300748
MLS Listing,,Condo/Co-op,6 Bryant Cres Unit 2G,White Plains,NY,10605,219900,2,1.0,Bryant Gardens,900,,1950,426,244,1063,Active,,,http://www.redfin.com/NY/White-Plains/6-Bryant-Cres-10605/unit-2G/home/143355711,OneKey,H4916178,N,Y,41.0191545,-73.7523685
MLS Listing,,Condo/Co-op,5 Renaissance Sq Unit 30AB,White Plains,NY,10601,2650000,3,3.5,Ritz Carlton,3044,,2008,437,871,3445,Active,,,http://www.redfin.com/NY/White-Plains/5-Renaissance-Sq-10601/unit-30AB/home/52385722,OneKey,H4914342,N,Y,41.0333686,-73.7678268
MLS Listing,,Single Family Residential,392 North St,White Plains,NY,10605,1500000,5,4.5,White Plains,5000,97914,1929,594,300,,Active,,,http://www.redfin.com/NY/White-Plains/392-North-St-10605/home/20185793,OneKey,H4847081,N,Y,41.0236263,-73.7410283
MLS Listing,,Multi-Family (2-4 Unit),207 Central Ave,White Plains,NY,10606,1290000,11,5.0,White Plains,4487,6447,1924,595,287,,Active,,,http://www.redfin.com/NY/White-Plains/207-Central-Ave-10606/home/20192739,OneKey,H4847067,N,Y,41.035808,-73.7798459
MLS Listing,,Vacant Land,22 Nethermont Ave,White Plains,NY,10603,220000,0,,White Plains,,7192,,622,,,Active,,,http://www.redfin.com/NY/White-Plains/22-Nethermont-Ave-10603/home/21451507,OneKey,H4842626,N,Y,41.0587019,-73.762854
MLS Listing,,Single Family Residential,86 Davis Ave,White Plains,NY,10605,634900,4,3.5,The Highlands,2312,5837,1927,690,275,,Active,,,http://www.redfin.com/NY/White-Plains/86-Davis-Ave-10605/home/20185726,OneKey,H4830429,N,Y,41.0210943,-73.7669765
MLS Listing,,Condo/Co-op,5 Renaissance Sq Unit 41PH10G,White Plains,NY,10601,4200000,3,3.5,Ritz Carlton,5403,,2008,802,777,5853,Active,,,http://www.redfin.com/NY/White-Plains/5-Renaissance-Sq-10601/unit-41PH10G/home/147598304,OneKey,H4810596,N,Y,41.0333686,-73.7678268
MLS Listing,,Condo/Co-op,5 Renaissance Sq Unit 39PH8G,White Plains,NY,10601,3500000,4,3.5,Ritz Carlton,5038,,2008,844,695,5848,Active,,,http://www.redfin.com/NY/White-Plains/5-Renaissance-Sq-10601/unit-39PH8G/home/144796515,OneKey,H4804235,N,Y,41.0333686,-73.7678268
MLS Listing,,Vacant Land,Gilbert Pl,White Plains,NY,10604,225000,,,White Plains,7020,7017,,1490,32,,Active,,,http://www.redfin.com/NY/White-Plains/Gilbert-Pl-10604/home/23098143,HGMLS,4618506,N,Y,41.048991,-73.760256
MLS Listing,,Vacant Land,63 Buckout Rd,West Harrison,NY,10604,650000,0,,West Harrison,,43560,,1852,,,Active,,,http://www.redfin.com/NY/White-Plains/63-Buckout-Rd-10604/home/52269745,OneKey,H4516418,N,Y,41.0556471,-73.7544253
For-Sale-by-Owner Listing,,Condo/Co-op,25 Rockledge Ave Apt 906w,White Plains,NY,10601,600000,2,2.0,White Plains,1219,,1988,69,492,,Active,,,http://www.redfin.com/NY/White-Plains/25-Rockledge-Ave-10601/unit-906W/home/20190927,Fizber.com,5051163,N,Y,41.035639,-73.7712124
